"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Economic_Empowerment_Resource_gwp1_n_5","Economic_Empowerment_Resource_gwp2_n_5","Economic_Empowerment_Resource_SL_CPA_YEMP","Economics_Resource","Economic_Empowerment_Agency_Account_Ratio","Economics_Agency","Economic_Empowerment_Achievement_BetterOff","Economic_Empowerment_Achievement_SL_TLF_NEET_Both","Economic_Empowerment_Achievement_WorkPov","Economics_Achievement","Economics"
"Afghanistan",4,"AFG","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.6477529,0.1833455,0.333333333333333,0.388143910722967,0.905678703623001,0.905678703623001,0.734026392371266,0.58,0.5905,0.63484213015558,0.642888247524294
"Albania",8,"ALB","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.8604408,0.7553036,0.9,0.838581465828085,0.954880337531283,0.954880337531283,0.5141687685561,0.742,0.9934,0.74985625543551,0.847772685417187
"Algeria",12,"DZA","Northern Africa","Northern Africa and Western Asia","Arab States",0.8948025,0.6920241,0.636363636363636,0.741063411380149,0.868308795462326,0.868308795462326,0.370583769340506,0.79,0.9991,0.719894589060274,0.776422264524494
"Angola",24,"AGO","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.641098157485362,0.303555070859093,0.580645161290323,0.508432796036493,0.611827139430804,0.611827139430804,0.575277820241892,0.9,0.4689,0.648059272765905,0.589439735488294
"Antigua and Barbuda",28,"ATG","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.842850875161716,0.734129798775229,0.648148148148148,0.741709606619988,0.869358224887103,0.869358224887103,0.577988089087824,0.790124254889638,0.969364555651906,0.779158965763964,0.796742264960276
"Azerbaijan",31,"AZE","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.8193651,0.7037687,0.666666666666667,0.729933488158955,0.563782254981821,0.563782254981821,0.370583769340506,0.707072022046159,0.9999,0.69251859643637,0.662078112530304
"Argentina",32,"ARG","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.8794757,0.850132,0,0.576535899423464,0.87416535746352,0.87416535746352,0.182456098171736,0.808,0.999,0.66315203206076,0.704617762277964
"Australia",36,"AUS","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",0.9843697,0.987086,1,0.990485232342848,1,1,0.739564225843622,0.911,0.999482041180057,0.883348754791211,0.957944661420075
"Austria",40,"AUT","Western Europe","Europe and Northern America","Non-UNFPA Country",0.9904605,0.946224,0.9,0.945561499054439,0.970579364173648,0.970579364173648,0.5141687685561,0.929,0.999482041180057,0.814216935764502,0.910119265420744
"Bahamas",44,"BHS","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.842850875161716,0.734129798775229,0.666666666666667,0.747882446119988,0.869358224887103,0.869358224887103,0.577988089087824,0.790124254889638,1,0.78937078053645,0.802203816378977
"Bahrain",48,"BHR","Western Asia","Northern Africa and Western Asia","Arab States",0.9928374,0.9692401,0.636363636363636,0.866147044588398,0.871008993678551,0.871008993678551,0.370583769340506,0.707072022046159,0.942248717010096,0.673301502125619,0.803485845994037
"Bangladesh",50,"BGD","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.7624655,0.2862033,0.592592592592593,0.54708713031711,0.900558759998158,0.900558759998158,0.887445887445887,0.726,0.9367,0.85004862829858,0.765898172105385
"Armenia",51,"ARM","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.9081364,0.8084227,0.333333333333333,0.68329747709448,0.987031320864074,0.987031320864074,0.370583769340506,0.689,0.9955,0.685027922428474,0.785118906010557
"Barbados",52,"BRB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.842850875161716,0.734129798775229,0.333333333333333,0.636771335119988,0.869358224887103,0.869358224887103,0.577988089087824,0.790124254889638,0.9997,0.78927078053655,0.765133446082747
"Belgium",56,"BEL","Western Europe","Europe and Northern America","Non-UNFPA Country",1,0.9913197,1,0.99710656566956,0.975241707360991,0.975241707360991,0.5141687685561,0.907,0.999482041180057,0.806883602438502,0.92641062422994
"Bhutan",64,"BTN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.715527903280476,0.245907760499144,0.592592592592593,0.518009418272728,0.668152290426034,0.668152290426034,0.734026392371266,0.701541753088014,0.9856,0.807056047679371,0.664405918128305
"Bolivia (Plurinational State of)",68,"BOL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.9127396,0.8096672,0.648148148148148,0.790184981925864,0.80870939438911,0.80870939438911,0.402040816326531,0.898,0.9344,0.744813604697363,0.781235992889543
"Bosnia and Herzegovina",70,"BIH","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.9762865,0.9093406,0,0.628542366038124,0.792853928470639,0.792853928470639,0.5141687685561,0.788,0.9997,0.76728958875141,0.729561960357162
"Botswana",72,"BWA","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.8530865,0.5473755,0.333333333333333,0.577931777199846,1,1,0.575277820241892,0.668,0.8661,0.703125939377505,0.760352571432098
"Brazil",76,"BRA","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.9124902,0.8411803,0.666666666666667,0.806779054748777,0.79243958457836,0.79243958457836,0.693677041437579,0.765,0.981,0.813225679665967,0.804148105526887
"Belize",84,"BLZ","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.842850875161716,0.734129798775229,0.333333333333333,0.636771335119988,0.916636884274721,0.916636884274721,0.577988089087824,0.727,0.8858,0.730262695632345,0.761223637581128
"Solomon Islands",90,"SLB","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.931385972587569,0.836913757954419,0.333333333333333,0.700544353924563,1,1,0.773509856822251,0.93,0.741,0.814836618125914,0.838460323178365
"Brunei Darussalam",96,"BRN","South-Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.931385972587569,0.836913757954419,0.727272727272727,0.831857485106381,1,1,0.773509856822251,0.799,1,0.857503284749914,0.896453589055645
"Bulgaria",100,"BGR","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.975831,0.9554021,0.9,0.943744365722922,0.772243202203244,0.772243202203244,0.5141687685561,0.863,0.999482041180057,0.792216935786502,0.836068167068155
"Myanmar",104,"MMR","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.8056273,0.5366351,0.333333333333333,0.558531910552579,0.599710130821435,0.599710130821435,0.52970297029703,0.851,0.9863,0.789000989310009,0.649081009578927
"Burundi",108,"BDI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.641098157485362,0.303555070859093,0.580645161290323,0.508432796036493,1,1,0.575277820241892,0.938,0.2119,0.575059272838905,0.694497355597302
"Belarus",112,"BLR","Eastern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.9927022,0.9691766,0.666666666666667,0.87618182134604,0.858203468183966,0.858203468183966,0.5141687685561,0.879,0.9984,0.79718958872151,0.843858291906647
"Cambodia",116,"KHM","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.7865148,0.4233826,0.666666666666667,0.625521354930034,1,1,0.773509856822251,0.939,0.8822,0.864903284742514,0.830141545727374
"Cameroon",120,"CMR","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.761245,0.334042,0.666666666666667,0.587317888301571,0.722104568003602,0.722104568003602,0.575277820241892,0.83,0.8017,0.735659272678305,0.681693908979465
"Canada",124,"CAN","Northern America","Europe and Northern America","Non-UNFPA Country",0.9591609,0.9732909,0.9,0.944150599055849,1,1,0.572150140185644,0.876,0.999482041180057,0.81587739297269,0.92000932975617
"Cabo Verde",132,"CPV","Western Africa","Sub-Saharan Africa","West & Central Africa",0.641098157485362,0.303555070859093,0.666666666666667,0.537106631133267,0.966538633115383,0.966538633115383,0.575277820241892,0.72,0.9859,0.760392605986905,0.754679289323839
"Central African Republic",140,"CAF","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.4224891,0.0901612,0.666666666666667,0.39310565516245,0.906292625199231,0.906292625199231,0.575277820241892,0.761880542627983,0.3409,0.559352787063939,0.61958368852229
"Sri Lanka",144,"LKA","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.8432283,0.5015553,0.666666666666667,0.670483421551739,1,1,0.734026392371266,0.758,0.9947,0.82890879662818,0.833130738560175
"Chad",148,"TCD","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.4432227,0.08418994,0.580645161290323,0.369352600060755,0.743624717786273,0.743624717786273,0.575277820241892,0.629,0.5489,0.584392606162905,0.565789974104188
"Chile",152,"CHL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.9613444,0.9263844,0.666666666666667,0.85146515470409,1,1,0.43747488192152,0.835,0.9996,0.757358293216482,0.869607815103916
"China",156,"CHN","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.9620984,0.9303758,0.666666666666667,0.853046954702509,1,1,0.863891493181257,0.835541179846677,0.9963,0.898577556777401,0.917208169576095
"China, Taiwan Province of China",158,"TWN","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.931385972587569,0.836913757954419,0.727272727272727,0.831857485106381,1,1,0.703004691226332,0.835541179846677,0.9995,0.846015289511655,0.892624257313388
"Colombia",170,"COL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.8324375,0.7545256,1,0.862321032471012,0.893791120694421,0.893791120694421,0.454794520547945,0.76,0.9855,0.733431506115883,0.829847885597258
"Comoros",174,"COM","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.641098157485362,0.303555070859093,0.666666666666667,0.537106631133267,0.474836567944435,0.474836567944435,0.575277820241892,0.724,0.7977,0.698992606048305,0.57031193447169
"Mayotte",175,"MYT","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.641098157485362,0.303555070859093,0.580645161290323,0.508432796036493,0.966538633115383,0.966538633115383,0.575277820241892,0.761880542627983,0.58176271213249,0.639640357694481,0.704870594910582
"Congo",178,"COG","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.6863574,0.3647975,0.666666666666667,0.572607188316282,1,1,0.575277820241892,0.735,0.4994,0.603225939477405,0.725277708539285
"Democratic Republic of the Congo",180,"COD","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.5034356,0.2643534,0.333333333333333,0.367040777410737,1,1,0.575277820241892,0.786,0.3042,0.555159272858805,0.640733349449114
"Costa Rica",188,"CRI","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.97644,0.9275642,0.333333333333333,0.745779177031999,1,1,0.577988089087824,0.821,0.9971,0.798696028897245,0.848158401128256
"Croatia",191,"HRV","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.9839379,0.9739641,0.9,0.952633999047366,0.802849370374362,0.802849370374362,0.5141687685561,0.882,0.999482041180057,0.798550269113502,0.851344545327066
"Cuba",192,"CUB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.842850875161716,0.734129798775229,0.648148148148148,0.741709606619988,0.869358224887103,0.869358224887103,0.577988089087824,0.790124254889638,0.9971,0.78840411387075,0.79982398099279
"Cyprus",196,"CYP","Western Asia","Northern Africa and Western Asia","Non-UNFPA Country",1,0.9321797,0.636363636363636,0.856181111265031,0.882442740344147,0.882442740344147,0.569067493030258,0.863,0.942248717010096,0.791438735888679,0.843354194989265
"Czechia",203,"CZE","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.9805477,0.9900069,1,0.990184865676482,0.753202142654091,0.753202142654091,0.5141687685561,0.943,0.999482041180057,0.818883602426502,0.854090202731602
"Benin",204,"BEN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.7248994,0.2450346,0.666666666666667,0.545533555010022,0.810912063973837,0.810912063973837,0.575277820241892,0.828,0.5557,0.652992606094305,0.669812741022909
"Denmark",208,"DNK","Northern Europe","Europe and Northern America","Non-UNFPA Country",1,0.9949481,0.9,0.964982699035017,1,1,0.5141687685561,0.923,0.999482041180057,0.812216935766502,0.925733210674773
"Dominican Republic",214,"DOM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.8340377,0.7486381,1,0.860891932472441,0.854204293216071,0.854204293216071,0.577988089087824,0.753,0.9975,0.776162695586445,0.830419639594566
"Ecuador",218,"ECU","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.8030393,0.652131,1,0.81839009918161,0.819221520068435,0.819221520068435,0.318181818181818,0.825,0.9557,0.699627272027645,0.779079629646817
"El Salvador",222,"SLV","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.7876582,0.6924892,0.666666666666667,0.715604688173284,0.839849055285565,0.839849055285565,0.577988089087824,0.721,0.993,0.763996028931945,0.773149923357115
"Equatorial Guinea",226,"GNQ","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.641098157485362,0.303555070859093,0.333333333333333,0.425995520133267,0.966538633115383,0.966538633115383,0.575277820241892,0.761880542627983,0.9066,0.747919453542039,0.713484534883412
"Ethiopia",231,"ETH","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.5388805,0.1357355,0.666666666666667,0.447094221775128,0.893575019400027,0.893575019400027,0.608465608465608,0.895,0.77,0.757821868730714,0.699497035935793
"Eritrea",232,"ERI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.641098157485362,0.303555070859093,0.580645161290323,0.508432796036493,0.966538633115383,0.966538633115383,0.575277820241892,0.761880542627983,0.4425,0.593219453696739,0.689396960260142
"Estonia",233,"EST","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.9885793,0.9878365,0.9,0.958805265707861,0.959330280425948,0.959330280425948,0.5141687685561,0.931,0.999482041180057,0.814883602430502,0.911006381943764
"Fiji",242,"FJI","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.931385972587569,0.836913757954419,0.666666666666667,0.811655464924563,1,1,0.773509856822251,0.799,0.9993,0.857269951416814,0.889641804557484
"Finland",246,"FIN","Northern Europe","Europe and Northern America","Non-UNFPA Country",1,0.9926421,0.9,0.964214032369119,1,1,0.5141687685561,0.918,0.999482041180057,0.810550269101502,0.924921432898619
"France",250,"FRA","Western Europe","Europe and Northern America","Non-UNFPA Country",0.8985681,0.9561644,0.9,0.918244165748423,0.844863051144318,0.844863051144318,0.5141687685561,0.894,0.999482041180057,0.802550269109502,0.855219161145528
"French Guiana",254,"GUF","South America","Latin America and the Caribbean","Non-UNFPA Country",0.842850875161716,0.734129798775229,0.648148148148148,0.741709606619988,0.869358224887103,0.869358224887103,0.577988089087824,0.790124254889638,0.969364555651906,0.779158965763964,0.796742264960276
"French Polynesia",258,"PYF","Polynesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.931385972587569,0.836913757954419,0.5,0.756099909424563,1,1,0.773509856822251,0.736331355545413,0.707629671407553,0.739156960519249,0.831752289149518
"Djibouti",262,"DJI","Eastern Africa","Sub-Saharan Africa","Arab States",0.641098157485362,0.303555070859093,0.580645161290323,0.508432796036493,0.806890610850498,0.806890610850498,0.575277820241892,0.761880542627983,0.58176271213249,0.639640357694481,0.65165458754217
"Gabon",266,"GAB","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.8391543,0.6278151,0.333333333333333,0.60010091051101,1,1,0.575277820241892,0.761880542627983,0.9752,0.770786120185839,0.790295676108654
"Georgia",268,"GEO","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.9520804,0.8758174,0.333333333333333,0.720410377057367,0.781798843341628,0.781798843341628,0.370583769340506,0.74,0.9619,0.690827922422674,0.731012380209544
"Gambia",270,"GMB","Western Africa","Sub-Saharan Africa","West & Central Africa",0.641098157485362,0.303555070859093,0.666666666666667,0.537106631133267,0.966538633115383,0.966538633115383,0.575277820241892,0.504,0.9007,0.659992606087305,0.721212622724106
"State of Palestine",275,"PSE","Western Asia","Northern Africa and Western Asia","Arab States",0.8001355,0.6099529,0.636363636363636,0.682150678105728,0.678905155108966,0.678905155108966,0.370583769340506,0.666,0.9972,0.677927922435574,0.679661251203762
"Germany",276,"DEU","Western Europe","Europe and Northern America","Non-UNFPA Country",0.9017366,0.9875275,1,0.963088032370245,0.982224296701571,0.982224296701571,0.717741935483871,0.943,0.999482041180057,0.886741324667901,0.944017883635888
"Ghana",288,"GHA","Western Africa","Sub-Saharan Africa","West & Central Africa",0.687184,0.3701122,1,0.685765399314235,1,1,0.575277820241892,0.695,0.8894,0.719892606027405,0.80188600097866
"Kiribati",296,"KIR","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.931385972587569,0.836913757954419,0.5,0.756099909424563,1,1,0.773509856822251,0.531,0.707629671407553,0.670713175405888,0.808937694134546
"Greece",300,"GRC","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.9626254,0.9634317,1,0.975352365691314,0.785561899310302,0.785561899310302,0.616537805586764,0.875,0.999482041180057,0.830339948091934,0.863751403500765
"Grenada",308,"GRD","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.842850875161716,0.734129798775229,0.333333333333333,0.636771335119988,0.869358224887103,0.869358224887103,0.577988089087824,0.790124254889638,0.969364555651906,0.779158965763964,0.761762841161922
"Guadeloupe",312,"GLP","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.842850875161716,0.734129798775229,0.648148148148148,0.741709606619988,0.869358224887103,0.869358224887103,0.577988089087824,0.790124254889638,0.969364555651906,0.779158965763964,0.796742264960276
"Guam",316,"GUM","Micronesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.931385972587569,0.836913757954419,0.5,0.756099909424563,1,1,0.773509856822251,0.736331355545413,0.707629671407553,0.739156960519249,0.831752289149518
"Guatemala",320,"GTM","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.7918623,0.5170501,1,0.769637465897029,0.953137335322112,0.953137335322112,0.632829373650108,0.727,0.9366,0.765476457117893,0.829417085282928
"Guinea",324,"GIN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.7206044,0.248318,0.333333333333333,0.434085244010359,1,1,0.575277820241892,0.938,0.6678,0.727025939353605,0.720370393734284
"Guyana",328,"GUY","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.842850875161716,0.734129798775229,0.648148148148148,0.741709606619988,0.869358224887103,0.869358224887103,0.577988089087824,0.642,0.98,0.733329362295945,0.781465730486213
"Haiti",332,"HTI","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.7228621,0.4228956,0.648148148148148,0.597968615451414,0.982340981735961,0.982340981735961,0.577988089087824,0.818,0.864,0.753329362275945,0.77787965237656
"Honduras",340,"HND","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.821596,0.5529922,0.648148148148148,0.674245448708471,0.812996456945801,0.812996456945801,0.577988089087824,0.719,0.8542,0.717062695645545,0.734768199698504
"China, Hong Kong SAR",344,"HKG","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.9770015,0.9824835,0.727272727272727,0.895585908195323,0.982301808917557,0.982301808917557,0.834724170673149,0.835541179846677,1,0.890088449283187,0.922658721209364
"Hungary",348,"HUN","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.9588646,0.940754,1,0.966539532366794,0.808177374709282,0.808177374709282,0.5141687685561,0.89,0.999482041180057,0.801216935777502,0.858644613425881
"Iceland",352,"ISL","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.964889824601727,0.950585818555423,0.9,0.938491880113892,0.923269707546381,0.923269707546381,0.5141687685561,0.953,0.999482041180057,0.822216935756502,0.894659506910932
"India",356,"IND","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.7201177,0.2002047,0.666666666666667,0.528996355026559,0.895529302756544,0.895529302756544,0.734026392371266,0.705,0.8965,0.77850879667858,0.734344817419549
"Indonesia",360,"IDN","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.86094,0.5154098,0.666666666666667,0.681005488207883,1,1,0.75482885524974,0.795,0.9632,0.837676284245571,0.839560589978257
"Iran (Islamic Republic of)",364,"IRN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.8932794,0.8145134,0.592592592592593,0.766795130097402,0.989486743670644,0.989486743670644,0.676470588235294,0.679,0.9985,0.784656861960441,0.846979577729183
"Iraq",368,"IRQ","Western Asia","Northern Africa and Western Asia","Arab States",1,0.6130754,0.333333333333333,0.648802910462308,0.793108905193497,0.793108905193497,0.261904761904762,0.594,0.9972,0.617701586683886,0.686537800093359
"Ireland",372,"IRL","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.9925554,0.9223167,0.9,0.938290699061709,0.933551796020076,0.933551796020076,0.5141687685561,0.899,0.999482041180057,0.804216935774502,0.892019809393409
"Israel",376,"ISR","Western Asia","Northern Africa and Western Asia","Non-UNFPA Country",0.9944478,0.9223584,0.636363636363636,0.851056611270156,0.8594577242307,0.8594577242307,0.370583769340506,0.853,0.942248717010096,0.721944161394923,0.81081949815444
"Italy",380,"ITA","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.9879869,0.9855623,1,0.991183065675484,0.865604899361174,0.865604899361174,0.5141687685561,0.819,0.999482041180057,0.777550269134502,0.878112743845607
"Côte d'Ivoire",384,"CIV","Western Africa","Sub-Saharan Africa","West & Central Africa",0.7499745,0.3251578,0.580645161290323,0.551925819878182,0.781179603637126,0.781179603637126,0.575277820241892,0.652,0.7535,0.660259272753705,0.664454898091883
"Jamaica",388,"JAM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.842850875161716,0.734129798775229,0.333333333333333,0.636771335119988,1,1,0.577988089087824,0.790124254889638,0.9959,0.78800411387115,0.808258482188788
"Japan",392,"JPN","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.9747776,0.9571316,1,0.977303065689364,0.946842680431571,0.946842680431571,0.538461538461538,0.969,0.983385871986552,0.830282469319081,0.918142737561862
"Kazakhstan",398,"KAZ","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",0.9076086,0.8848298,0.333333333333333,0.708590577069187,0.786160430053681,0.786160430053681,0.636363636363636,0.905,0.9999,0.847087877940791,0.780612960907273
"Jordan",400,"JOR","Western Asia","Northern Africa and Western Asia","Arab States",0.8646488,0.8874874,0.666666666666667,0.806267621415955,0.69094946103371,0.69094946103371,0.549668874172185,0.64,0.9967,0.728789623995272,0.742002234739643
"Kenya",404,"KEN","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.8485776,0.6293787,0.580645161290323,0.686200486410574,0.9526275396914,0.9526275396914,0.575277820241892,0.863,0.6636,0.700625939380005,0.779817987714175
"Dem. People's Republic of Korea",408,"PRK","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.931385972587569,0.836913757954419,0.727272727272727,0.831857485106381,1,1,0.773509856822251,0.835541179846677,0.7881,0.799050344757259,0.876969275744244
"Republic of Korea",410,"KOR","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.9719141,0.9796752,1,0.983863099016137,0.940273145127741,0.940273145127741,0.583333333333333,0.835541179846677,1,0.806291503587045,0.910142581666832
"Kuwait",414,"KWT","Western Asia","Northern Africa and Western Asia","Arab States",1,0.9907272,0.636363636363636,0.875696944578849,0.9361464647304,0.9361464647304,0.370583769340506,0.707072022046159,0.9995,0.69238526310317,0.834742889969397
"Kyrgyzstan",417,"KGZ","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",0.9405292,0.7421888,0.333333333333333,0.672017110439094,0.820181876040951,0.820181876040951,0.700228240855126,0.795,0.9986,0.831276079453766,0.774491687870112
"Lao People's Democratic Republic",418,"LAO","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.745079,0.3496656,0.666666666666667,0.587137088301752,0.82417109468351,0.82417109468351,0.773509856822251,0.579,0.8935,0.748669951525414,0.719992710783566
"Lebanon",422,"LBN","Western Asia","Northern Africa and Western Asia","Arab States",0.9757908,0.9600108,0.636363636363636,0.857388411263824,0.670555052810273,0.670555052810273,0.435,0.765,0.9991,0.7330333326003,0.75365893147114
"Lesotho",426,"LSO","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.6579648,0.2774278,0.580645161290323,0.505345919924762,1,1,0.575277820241892,0.761880542627983,0.7777,0.704952786918339,0.736766234877601
"Latvia",428,"LVA","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.9863047,0.9798654,1,0.988723365677943,0.912951151786445,0.912951151786445,0.5141687685561,0.921,0.999482041180057,0.811550269100502,0.904408261283888
"Liberia",430,"LBR","Western Africa","Sub-Saharan Africa","West & Central Africa",0.5592334,0.2875103,0.666666666666667,0.504470121717752,1,1,0.575277820241892,0.868,0.4712,0.638159272775805,0.714209797450309
"Libya",434,"LBY","Northern Africa","Northern Africa and Western Asia","Arab States",1,0.7972884,0.636363636363636,0.811217344643328,0.775532807344896,0.775532807344896,0.370583769340506,0.707072022046159,0.9987,0.69211859643677,0.759622915382042
"Lithuania",440,"LTU","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.9671212,0.9464512,0.9,0.937857465728809,0.858812267267567,0.858812267267567,0.5141687685561,0.913,0.999482041180057,0.808883602436502,0.868517777609108
"Luxembourg",442,"LUX","Western Europe","Europe and Northern America","Non-UNFPA Country",0.9690349,0.9669433,0.9,0.945326065721341,0.976177808017737,0.976177808017737,0.5141687685561,0.944,0.999482041180057,0.819216935759502,0.91357360225262
"China, Macao SAR",446,"MAC","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.931385972587569,0.836913757954419,0.727272727272727,0.831857485106381,1,1,0.867021276595745,0.835541179846677,1,0.90085415124662,0.91090387787343
"Madagascar",450,"MDG","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.3054218,0.2140868,0.666666666666667,0.395391755160164,1,1,0.575277820241892,0.932,0.2379,0.581725939498905,0.659039230893984
