"Region","Account_Ratio","active_member","ASFR15","BetterOff","CollectData","Displacement","DS_1524","Educ_GDP","fert_know_m","fert_know_w","gwp1_n_5","gwp2_n_5","HIV","HIVKnow_m_1524","HIVKnow_w_1524","humanrights","INFORM","InterViolence","knows_ltm_stm_m","knows_ltm_stm_w","Parliament30","pol_part","ProviderDisc","Res_Civil","SE.SEC.ENRR","SelfHarm","SH_LGR_ACSRHES1","SH_LGR_ACSRHES2","SH_LGR_ACSRHES3","SH_LGR_ACSRHES4","SH_STA_MORT","SL_CPA_YEMP","SL_TLF_NEET_Both","SP_DYN_MRBF18","UpperSec_Both","UpperSec_Ratio","violence_w_1524","Vote_National","WorkPov","YouthPolicy_Num"
"Global",0.988653779037316,0.809859167910929,1,0.553647071835425,0.405940594059406,0.997054948564737,0.541047705546405,0.846534653465347,0.513530208129967,0.64337747947914,0.96387892107776,0.959161323334306,0.405641143507212,0.543263060531479,0.571950007611404,0.806091356522701,0.910891089108911,0.998873447951674,0.585525957836319,0.668317229654032,0.628896630009455,0.804727276078822,0.405940594059406,0.678217821782178,0.947953901228325,0.998873447951674,0.391089108910891,0.514851485148515,0.485148514851485,0.5,0.995310452130526,0.514851485148515,0.81719940274914,0.717966101694915,0.956939435476358,0.956730782224216,0.510920227350085,0.81045733561909,0.897565359450106,0.826732673267327
"UNFPA Total",0.990652482865591,0.816343173520696,1,0.535914080835377,0.567375886524823,0.999942940886759,0.615558106951039,0.893617021276596,0.582887409134998,0.731980228847202,0.962443267342619,0.957014505986537,0.441710298487691,0.616635969644459,0.650716120495057,0.812058116608474,0.99290780141844,0.999988368982402,0.664606878312645,0.760354557484238,0.599038105867602,0.81050677506491,0.567375886524823,0.659574468085106,0.943871851237882,0.999988368982402,0.446808510638298,0.595744680851064,0.560283687943262,0.574468085106383,0.999978560004116,0.595744680851064,0.801803646940668,0.811523854735343,0.970113037106442,0.970395188531568,0.5812816221686,0.817080060753889,0.997288610755929,0.886524822695035
"UNFPAGroup: Arab States",1,0.685875236644041,1,0.410860229948746,0.3,1,0.166383605072464,0.6,0.0268242356030763,0.366394927536232,0.710703807255531,0.710703807255531,0.758368661564719,0.0268242356030763,0.344514266304348,0.696695448738668,1,1,0.0268242356030763,0.451822916666667,0.476747269980743,0.685875236644041,0.3,0.4,0.808762214287242,1,0.35,0.45,0.45,0.5,1,0.35,0.780845675273908,0.899518756885255,0.882657315743334,0.885196374622356,0.263558650362319,0.696695448738668,0.995058635687937,0.75
"UNFPAGroup: Asia & the Pacific",0.990557888894635,0.953943449131297,1,0.564083122963636,0.607142857142857,0.99993257768477,0.5286447234969,0.964285714285714,0.603516958798088,0.701649536986564,0.990326313246204,0.981551140008321,0.215896809139008,0.675671223357734,0.681559742443614,0.953943449131297,1,1,0.65059544490637,0.701649536986564,0.645212425759215,0.953943449131297,0.607142857142857,0.5,0.978889035834961,1,0.428571428571429,0.571428571428571,0.535714285714286,0.535714285714286,1,0.535714285714286,0.727505938093024,0.720378520545048,0.96507005437869,0.965201388816482,0.586436332761793,0.953943449131297,0.999817772806676,0.928571428571429
"UNFPAGroup: East & Southern Africa",0.994230562601899,0.327726398681439,1,0.226398681439429,0.772727272727273,1,0.978117735039261,0.954545454545455,0.972476469730597,0.972817869974476,0.920746149426093,0.920746149426093,0.999918848953557,0.892303455426137,0.898684788086684,0.327726398681439,1,1,0.972476469730597,0.972817869974476,0.38465404207689,0.327726398681439,0.772727272727273,0.727272727272727,0.790283638068448,1,0.363636363636364,0.5,0.454545454545455,0.5,1,0.590909090909091,0.920480089590755,0.996289165062139,0.990436005625879,0.99071829157789,0.921217343239421,0.327726398681439,0.98154625203892,0.909090909090909
"UNFPAGroup: Eastern Europe & Central Asia",1,0.928250686480375,1,0.68560814084962,0.5625,1,0.913898992308151,0.875,0.226230250863582,0.886053306302546,1,1,0.546225565656859,0.213262359136984,0.284598413928806,0.773477628816023,1,1,0.683504162183589,0.886053306302546,0.714009661835749,0.748376675819738,0.5625,0.9375,0.990389622686171,1,0.625,0.6875,0.5,0.625,1,0.875,0.778762090098464,1,1,1,0.257348995289488,0.928250686480375,1,1
"UNFPAGroup: Latin America & the Caribbean",0.982238667900093,0.860802139591778,1,0.834015777416111,0.375,0.999809825673534,0.578822995633023,0.96875,0.196405150278019,0.609524169612643,0.976854289712754,0.976854289712754,0.467677126357299,0.177082371196867,0.236743104523886,0.860802139591778,0.96875,0.999880530194421,0.564812591210537,0.828118796907197,0.537220688902403,0.860802139591778,0.375,0.65625,0.975863708399366,0.999880530194421,0.34375,0.53125,0.53125,0.5,0.999796831736044,0.5625,0.981161343375633,0.869263907098708,0.998890649762282,0.998931355292934,0.223131746601887,0.860802139591778,0.999121610256602,0.84375
"UNFPAGroup: Non-UNFPA Country",0.975395113235699,0.762627226705964,1,0.6828208632709,0.0327868852459016,0.974547709878999,,0.737704918032787,,,0.973402519727943,0.973402519727943,0.141129782352576,,,0.762627226705964,0.721311475409836,0.990488773898912,,,0.830269879153752,0.762627226705964,0.0327868852459016,0.721311475409836,0.979766892129099,0.990488773898912,0.262295081967213,0.327868852459016,0.311475409836066,0.327868852459016,0.968848314801825,0.327868852459016,0.930103415252544,0.0668226872246696,0.854272474079622,0.850846495791166,,0.762214909099239,0.166249836368271,0.688524590163934
"UNFPAGroup: West & Central Africa",0.984721916904814,0.507893256671458,1,0.441072432972939,0.826086956521739,1,0.991875923190547,0.91304347826087,0.954511737498909,0.982095698491563,0.984721916904814,0.984721916904814,0.945265111756842,0.97008901300288,0.970010294973367,0.507893256671458,1,1,0.981870145736975,0.982095698491563,0.666536344136014,0.507893256671458,0.826086956521739,0.826086956521739,0.989443273209963,1,0.652173913043478,0.869565217391304,0.869565217391304,0.826086956521739,1,0.739130434782609,0.976300699377962,1,0.999063012415086,0.999017359973796,0.875184638109306,0.507893256671458,0.999524909125059,0.91304347826087
"SDG: Australia/New Zealand",1,1,1,1,,1,,1,,,1,1,1,,,1,1,1,,,1,1,,1,1,1,0.5,1,1,1,1,1,1,,0.833481745325022,0.833941605839416,,1,,1
"SDG: Central and Southern Asia",0.999642010753997,0.947037062073288,1,0.246633932906033,0.857142857142857,1,0.72819019275197,1,0.85172981878089,0.965300013317198,0.999212423658793,0.999212423658793,0.226518666787978,0.934460053370949,0.93747285897087,0.932316087680594,1,1,0.940439283966083,0.965300013317198,0.935839688976964,0.932316087680594,0.857142857142857,0.785714285714286,1,1,0.5,0.785714285714286,0.714285714285714,0.642857142857143,1,0.642857142857143,0.982338166488835,1,0.968692770169467,0.96968796968797,0.934768888708753,0.947037062073288,1,1
"SDG: Eastern and South-Eastern Asia",0.978294550300001,0.970451475241504,1,0.970451475241504,0.421052631578947,0.992841495853544,0.268323341713402,0.842105263157895,0.246151146980131,0.343944249523441,0.978294550300001,0.961178321651999,0.21098659938434,0.298609588139831,0.312912672320911,0.970451475241504,0.842105263157895,0.99778004413536,0.246151146980131,0.343944249523441,0.321534434004333,0.970451475241504,0.421052631578947,0.631578947368421,0.947493126494848,0.99778004413536,0.421052631578947,0.473684210526316,0.421052631578947,0.473684210526316,0.98621820040792,0.578947368421053,0.400687935503583,0.356533477321814,0.906855622862508,0.904518386434747,0.11404950686521,0.970254849198749,0.9615590576532,0.842105263157895
"SDG: Europe and Northern America",0.999518803132154,0.729320028840248,1,0.629367205789413,0.0952380952380952,0.9949695490033,0.0398193018480493,0.880952380952381,0.040363032165026,0.0398193018480493,0.999518803132154,0.999518803132154,0.182872449634287,0.0367734654210295,0.0362874743326489,0.729320028840248,0.976190476190476,0.999840412798894,0.040363032165026,0.0398193018480493,0.837706572078537,0.722403710066493,0.0952380952380952,0.976190476190476,0.997115874761892,0.999840412798894,0.428571428571429,0.5,0.452380952380952,0.5,0.999858860723762,0.476190476190476,0.999839599640703,0.133354786806114,0.999839025568106,0.999836507806752,0.0364517453798768,0.729320028840248,0.170994803028359,0.904761904761905
"SDG: Latin America and the Caribbean",0.980779220779221,0.85968677135134,1,0.833027257908095,0.315789473684211,0.995855983613015,0.576121930567316,0.868421052631579,0.195398073954275,0.606679838178568,0.972448642266824,0.972448642266824,0.465419917606688,0.176174373300007,0.235638347916079,0.85968677135134,0.815789473684211,0.99816718064843,0.561916489009777,0.824254398344153,0.534897802342822,0.85968677135134,0.315789473684211,0.552631578947368,0.974300795714173,0.99816718064843,0.289473684210526,0.447368421052632,0.447368421052632,0.421052631578947,0.998007876107217,0.473684210526316,0.976611830786828,0.86559982094897,0.997006223902939,0.99706176544136,0.222090507103208,0.85968677135134,0.997340351334009,0.710526315789474
"SDG: Northern Africa and Western Asia",0.998790001959044,0.760712025112061,1,0.504798935579295,0.28,1,0.317348445164055,0.68,0.0428860873480414,0.48559455212153,0.790359196561301,0.790359196561301,0.616357513972622,0.0428860873480414,0.308752797752274,0.769793187190782,0.96,0.998886529982036,0.1990995047276,0.557455116910329,0.576145409687554,0.760712025112061,0.28,0.56,0.878656039777713,0.998886529982036,0.4,0.44,0.4,0.48,0.998771359013447,0.44,0.839803746861223,0.898103348171086,0.898581456566247,0.901399419109049,0.240654316872232,0.769793187190782,0.979934968004721,0.8
"SDG: Oceania (excluding Australia and New Zealand)",,,1,,0.166666666666667,0.891687657430731,0.727427597955707,0.666666666666667,0.731234866828087,0.727427597955707,,,0.787778695293146,0.731234866828087,0.727427597955707,,0.666666666666667,0.918114797261717,0.731234866828087,0.727427597955707,0.836466165413534,,0.166666666666667,,0.891687657430731,0.918114797261717,,,,,0.893511331884508,0.166666666666667,0.904624277456647,0.836298932384342,0.0856423173803526,0.0841968911917098,0.727427597955707,,0.84186622625929,0.583333333333333
"SDG: Sub-Saharan Africa",0.989535243253617,0.396642100892672,1,0.311464604525638,0.74,0.999197658741903,0.966299200947026,0.88,0.947451546052932,0.959242749334123,0.932328261773518,0.932328261773518,0.976328424728342,0.908788811086665,0.91207642793726,0.396642100892672,0.96,0.999177010597049,0.958899732510476,0.959242749334123,0.494808785934158,0.396642100892672,0.74,0.72,0.861517214165927,0.999177010597049,0.48,0.66,0.64,0.64,0.998950418691674,0.62,0.928024994831032,0.996088892454571,0.992739469270987,0.992774467030925,0.885709529446582,0.396642100892672,0.987663396815916,0.86
