"Region","Index","Economics","Education","Gender","Politics","Safety","SRH","Economics_Resource","Economics_Resource_gwp1_n_5","Economics_Resource_gwp2_n_5","Economics_Resource_SL_CPA_YEMP","Economics_Agency","Economics_Agency_Account_Ratio","Economics_Achievement","Economics_Achievement_BetterOff","Economics_Achievement_SL_TLF_NEET_Both","Economics_Achievement_WorkPov","Education_Resource","Education_Resource_Educ_GDP","Education_Resource_SH_LGR_ACSRHES3","Education_Agency","Education_Agency_SE.SEC.ENRR","Education_Achievement","Education_Achievement_UpperSec_Both","Gender_Resource","Gender_Resource_UpperSec_Ratio","Gender_Agency","Gender_Agency_Res_Civil","Gender_Achievement","Gender_Achievement_SP_DYN_MRBF18","Gender_Achievement_violence_w_1524","Politics_Resource","Politics_Resource_CollectData","Politics_Resource_YouthPolicy_Num","Politics_Agency","Politics_Agency_active_member","Politics_Agency_Vote_National","Politics_Achievement","Politics_Achievement_Parliament30","Safety_Resource","Safety_Resource_INFORM","Safety_Agency","Safety_Agency_humanrights","Safety_Agency_pol_part","Safety_Achievement","Safety_Achievement_Displacement","Safety_Achievement_InterViolence","Safety_Achievement_SelfHarm","SRH_Resource","SRH_Resource_ProviderDisc","SRH_Resource_SH_LGR_ACSRHES1","SRH_Resource_SH_LGR_ACSRHES2","SRH_Resource_SH_LGR_ACSRHES4","SRH_Agency","SRH_Agency_DS_1524","SRH_Agency_fert_know_m","SRH_Agency_fert_know_w","SRH_Agency_HIVKnow_m_1524","SRH_Agency_HIVKnow_w_1524","SRH_Agency_knows_ltm_stm_m","SRH_Agency_knows_ltm_stm_w","SRH_Achievement","SRH_Achievement_ASFR15","SRH_Achievement_HIV","SRH_Achievement_SH_STA_MORT"
"Global",0.62937181518633,0.80491941788688,0.556559541839471,0.768301447343087,0.410163969804894,0.668657495717706,0.6583954600957,0.690511963562313,0.8173992594629,0.574649453808394,0.67948717948718,0.956457286912062,0.956457286912062,0.767789005601025,0.66500770914034,0.763748275307379,0.874611034658723,0.431866006657138,0.3003646663755,0.563367346938776,0.75546813931194,0.75546813931194,0.482344481219014,0.482344481219014,0.962027206320773,0.962027206320773,0.713824817518248,0.713824817518248,0.629052320495145,0.673777919099651,0.584326721890639,0.637592967670644,0.517700905401168,0.75748502994012,0.474714132037707,0.355080237290774,0.59434802678464,0.118184810936823,0.118184810936823,0.615815217391304,0.615815217391304,0.476237154381728,0.69093489678795,0.261539411975506,0.913920117386059,0.984166645921967,0.899855642911897,0.857738066066073,0.654286559805106,0.359115796327059,0.706075949367089,0.750865384615385,0.801089108910891,0.461649103772377,0.674210778223525,0.104477788116652,0.186559334610521,0.279216440244607,0.22510407607883,0.735687634596799,0.813726000084558,0.859250718684802,0.7818180137865,0.918693751019077,0.877240393826582
"UNFPA Total",0.612210214849158,0.790057087813173,0.5212819966208,0.751811562150344,0.406260515135633,0.645470833277624,0.6484582082527,0.641941298350937,0.794703445326183,0.516041086573086,0.615079365079365,0.960942977329519,0.960942977329519,0.767286990129233,0.686728623349736,0.743368851200847,0.871763498138977,0.412191178989813,0.290078560511271,0.534303797468354,0.713763710686629,0.713763710686629,0.437891101749805,0.437891101749805,0.956256938125078,0.956256938125078,0.672043010752688,0.672043010752688,0.6271347398287,0.669942757766761,0.584326721890639,0.6334358888547,0.5228717777094,0.744,0.470777083179242,0.355629332426824,0.58592483393166,0.11456857459174,0.11456857459174,0.5545,0.5545,0.469497650943031,0.697931942777983,0.241063359108079,0.912414850826254,0.982198270330543,0.89447388413585,0.860572400749615,0.638710137425211,0.36081938567968,0.689206349206349,0.736666666666667,0.768148148148148,0.461649103772377,0.674210778223525,0.104477788116652,0.186559334610521,0.279216440244607,0.22510407607883,0.735687634596799,0.813726000084558,0.845015385505887,0.761709017573704,0.915411888819881,0.857925252659122
"UNFPA: Arab States",0.510296986362672,0.704643105651155,0.423780978194694,0.635026699820229,0.252731086100647,0.588826969122072,0.62573293248673,0.755691110190506,0.895788972509689,0.656998646043186,0.714285714285714,0.717942499426955,0.717942499426955,0.640295709449935,0.337598724001056,0.695258822492508,0.888029583777129,0.197957444323434,0.291470444202423,0.104444444444444,0.759278839612223,0.759278839612223,0.314106651919769,0.314106651919769,0.924793459466745,0.924793459466745,0.393375,0.393375,0.586911641899021,0.747558898414335,0.426264385383707,0.346075837742504,0.425485008818342,0.266666666666667,0.319943562958496,0.156097489643362,0.483789636273629,0.0921738583591331,0.0921738583591331,0.5515,0.5515,0.288351313442871,0.401074237224841,0.175628389660902,0.926629595689826,0.903487741663852,0.948325679084181,0.928075369101335,0.52511762620096,0.351787965121298,0.528571428571429,0.541111111111111,0.679,0.463944023900716,0.771713734830441,0.0863608909613173,0.248701045728942,0.081,0.0526609152904445,0.734745334995423,0.964656534568717,0.888137149235714,0.765531079467801,0.99553647204022,0.903343898863532
"UNFPA: Asia & the Pacific",0.623259784982257,0.821976488407867,0.558694336328991,0.740259617149167,0.385006401061075,0.662960530430657,0.675524784129674,0.650628873174245,0.815280232118858,0.514384167133543,0.622222222222222,1,1,0.815300594515285,0.775806278107678,0.729123049316896,0.940972458567182,0.445142322275374,0.298284644550747,0.592,0.761275393901992,0.761275393901992,0.46966529448569,0.46966529448569,0.972075993472077,0.972075993472077,0.586714285714286,0.586714285714286,0.661988574481918,0.687224628939933,0.636752520023903,0.589024628240314,0.428049256480629,0.75,0.476506426610383,0.373125133912017,0.57988771930875,0.0894881494875454,0.0894881494875454,0.546428571428571,0.546428571428571,0.51521956172184,0.790428783646482,0.240010339797198,0.927233460130441,0.994853909089727,0.95653464920456,0.830311824878735,0.646262976101283,0.406135237738467,0.663333333333333,0.74625,0.769333333333333,0.458096468941271,0.669831108555811,0.0912113075445692,0.148791256923977,0.247016814061219,0.184026015259183,0.796417348757773,0.857646791871822,0.922214909373042,0.878201970930933,0.980898488718139,0.907544271236699
"UNFPA: East & Southern Africa",0.557594595926349,0.718063907468971,0.377003962109978,0.715857411177369,0.425270901177726,0.602424054879286,0.60535178276654,0.501217228210486,0.607959195422489,0.30594890096903,0.58974358974359,1,1,0.65297449635062,0.589819848540778,0.802636500687661,0.566467141782345,0.540103062705388,0.292206125410776,0.788,0.387665772608915,0.387665772608915,0.203243052146644,0.203243052146644,0.928194451841508,0.928194451841508,0.6641875,0.6641875,0.555190283838172,0.610911135317474,0.49946943235887,0.721785921050627,0.593571842101254,0.85,0.439198758869053,0.480166579724955,0.398230938013151,0.114828024889311,0.114828024889311,0.481818181818182,0.481818181818182,0.402834251974543,0.591186010094828,0.214482493854259,0.922619732652406,0.983882284995613,0.870598380020111,0.913378535709353,0.67672633194692,0.399178055060408,0.695,0.799090909090909,0.813636363636364,0.492797227784483,0.714448710490595,0.138592075692201,0.239029939182407,0.403284181478187,0.34184625264567,0.648336111401232,0.742391840894979,0.646531790384271,0.503391906087449,0.761148364267918,0.675055102737042
"UNFPA: Eastern Europe & Central Asia",0.691233316056456,0.781594116960185,0.754207208059334,0.88136491008726,0.462041176870633,0.652544456765158,0.696353030610863,0.736184356696493,0.889881742638574,0.747242758230885,0.571428571428571,0.857973749042712,0.857973749042712,0.750624247486131,0.496970257601976,0.769319670296882,0.985582816811409,0.541014071532658,0.284528143065316,0.7975,0.99549204466321,0.99549204466321,0.726115510244757,0.726115510244757,0.99956237984041,0.99956237984041,0.805466666666667,0.805466666666667,0.839065686398798,0.865690366167525,0.812441006630071,0.747983523677968,0.558467047355936,0.9375,0.436571672731422,0.118407992102374,0.75473535336047,0.201568335588633,0.201568335588633,0.645625,0.645625,0.385916251735122,0.633180945675332,0.138651557794911,0.926092120517987,0.99555203127599,0.953995207873902,0.828729125182346,0.696906267600712,0.333534161311939,0.837,0.849090909090909,0.768,0.44989051824036,0.680160240099171,0.166767447580931,0.182436349765843,0.173208709506107,0.13307060548921,0.791882231353275,0.791438322029174,0.942262308080577,0.860946047883444,0.982522705519515,0.983318173665558
"UNFPA: Latin America & the Caribbean",0.672315839437319,0.796777110415048,0.693912827558244,0.822659927526924,0.506203901573687,0.588336448269706,0.68175245135137,0.741709606619988,0.842850875161716,0.734129798775229,0.648148148148148,0.869411346876997,0.869411346876997,0.77921038013849,0.578266289094887,0.790093992266519,0.969270861391695,0.461323973732911,0.308530300407,0.614117647058823,0.985730275002618,0.985730275002618,0.634684236020942,0.634684236020942,1,1,0.798380952380952,0.798380952380952,0.669598832667798,0.700197802197802,0.638999863137794,0.693220745304079,0.516071120237787,0.87037037037037,0.471245475605549,0.276212910234558,0.66627804097654,0.354145485330044,0.354145485330044,0.626129032258065,0.626129032258065,0.374143078330463,0.415052909490932,0.333233247169993,0.7647372359856,0.94937232600127,0.479820896126525,0.865018488123215,0.619176878744893,0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.558217982896121,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.840754365258863,0.867862494458353,0.683671851472365,0.979435721707161,0.940479912799122
"UNFPA: Non-UNFPA Country",,0.898349381848756,0.794151013094247,,0.398494773807065,0.754961204760462,,0.957716714077556,0.96625987775854,0.956890267347277,0.95,0.92623540991218,0.92623540991218,0.81109602425158,0.540825637876361,0.892584223469977,0.999878213841691,0.506688144555566,0.329165762795342,0.684210526315789,1,1,0.875764897109629,0.875764897109629,1,1,0.802136363636364,0.802136363636364,,0.997936753193243,,0.554242530345471,0.310866013071895,0.797619047619048,0.505460517002012,0.350798692720391,0.660122341283633,0.135781275269195,0.135781275269195,0.810909090909091,0.810909090909091,0.528360577602674,0.636662131871177,0.42005902333417,0.925613948034506,0.999906701693556,0.940716897370666,0.836218247816136,0.702118055555556,0.290972222222222,0.7725,0.8105,0.9345,,,,,,,,,0.972833707412274,0.934230534067525,0.994020210896309,0.99025038019149
"UNFPA: West & Central Africa",0.523212849537217,0.688309897906586,0.355273432925598,0.638885164261973,0.415484320549008,0.593344895852047,0.532646413312054,0.523495813062842,0.683252461813621,0.298999684827745,0.588235294117647,0.909428621068938,0.909428621068938,0.632005261652909,0.56508875739645,0.709442838712598,0.621484190745694,0.318783474808648,0.253066949617295,0.3845,0.393216728693207,0.393216728693207,0.353820096340758,0.353820096340758,0.827889842879057,0.827889842879057,0.613894736842105,0.613894736842105,0.474870914981412,0.484472584440414,0.46526924552241,0.614654823304204,0.562642979941742,0.666666666666667,0.611129126658397,0.559689016454917,0.662569236861877,0.020669012930875,0.020669012930875,0.476521739130435,0.476521739130435,0.358162451203464,0.495908339533431,0.220416562873496,0.945350499002279,0.989168395963797,0.906705790646617,0.940177313232473,0.642263800402861,0.267142920909691,0.701333333333333,0.799,0.801578947368421,0.372079339673376,0.474479267733177,0.100119697591044,0.240011428938872,0.298671674350613,0.313106894005814,0.451671784575263,0.624094702459047,0.583596101457865,0.433790584717476,0.928583460931564,0.388414260475344
"SDG: Australia/New Zealand",,,0.762046611405312,,,0.821773126191391,,0.933412116472619,0.982343839479554,0.984559179405205,0.833333333333333,0.997005381695842,0.997005381695842,,0.701750572954602,0.906469943895271,,0.435939836502075,0.371879673004151,0.5,1,1,0.8502,0.8502,1,1,0.772,0.772,,,,,,1,0.63315226109185,0.459758550424475,0.806545971759225,0.0184894938917976,0.0184894938917976,0.805,0.805,0.732417995393583,0.712600679701205,0.752235311085961,0.927901385645908,0.99999554720496,0.981650184259375,0.802058428257094,,,0.81,0.965,0.875,,,,,,,,,0.975827021955009,0.935108031632503,0.998,0.994373037160007
"SDG: Central and Southern Asia",0.604843048862599,0.728705475193267,0.463772669112327,0.742728178165797,0.46080140021957,0.657093287810647,0.644211180048198,0.518009418272728,0.715527903280476,0.245907760499144,0.592592592592593,0.886190237908995,0.886190237908995,0.781916771584195,0.734026392371266,0.701541753088014,0.910182171639055,0.312770905642282,0.256541811284565,0.369,0.695218162272438,0.695218162272438,0.383328940813579,0.383328940813579,0.941432513998475,0.941432513998475,0.643454545454546,0.643454545454546,0.643297477272554,0.658111884311698,0.628483070233409,0.692541576222132,0.527940295301406,0.857142857142857,0.620976599026996,0.433848820790293,0.808104377263699,0.0688860267919865,0.0688860267919865,0.569285714285714,0.569285714285714,0.503949172703842,0.706488655940247,0.301409689467436,0.898044978413665,0.992811800592661,0.947190946589898,0.754132190752569,0.583895119949042,0.362261576477263,0.658571428571429,0.643636363636364,0.671111111111111,0.437715331973733,0.584380349593819,0.0808616776450645,0.136006933875605,0.260623029306237,0.176758452226546,0.825062887236683,0.853648976312094,0.911023090154452,0.869237968569172,0.990064509061697,0.873766795565556
"SDG: Eastern and South-Eastern Asia",0.659204751959152,0.898667705921575,0.680643605203531,0.811891068179355,0.323733643441247,0.704666142735367,0.72432598923058,0.831857485106381,0.931385972587569,0.836913757954419,0.727272727272727,1,1,0.864145635354348,0.773509856822251,0.835541179846677,0.983385871986552,0.56753683368365,0.243823667367299,0.89125,0.874530356722757,0.874530356722757,0.599863627246118,0.599863627246118,1,1,0.656833333333333,0.656833333333333,0.778839873640404,0.806185493336362,0.751494253944445,0.524929353054353,0.393608706108706,0.65625,0.298720143484465,0.274537333096086,0.322902953872844,0.147551434756124,0.147551434756124,0.6275,0.6275,0.523720686738451,0.881394958152483,0.166046415324419,0.962777743581649,0.997883664460889,0.970938774687296,0.919510794485095,0.714269349477683,0.434021842355176,0.6675,0.877777777777778,0.877777777777778,0.520477263379535,0.958679982839983,0.133963219837169,0.186415148059137,0.195967013597448,0.206357016730676,0.666326241004484,0.857429502127397,0.938231357007499,0.896426840088046,0.970751175609604,0.947516058139542
"SDG: Europe and Northern America",0.73844905489021,0.886692191069282,0.808142817171781,0.902809538640533,0.452898408682777,0.747396643653096,0.74048140343037,0.938491880113892,0.964889824601727,0.950585818555423,0.9,0.923269707546381,0.923269707546381,0.798314988207651,0.5141687685561,0.88129415728174,0.999482041180057,0.547249550828441,0.33134120692004,0.763157894736842,1,1,0.877178903111332,0.877178903111332,1,1,0.830219512195122,0.830219512195122,0.878209106434905,0.95218207046332,0.804236142406489,0.648306640469953,0.467665912518854,0.828947368421053,0.531104902495556,0.399131677064735,0.663078127926376,0.179283684441519,0.179283684441519,0.79609756097561,0.79609756097561,0.526224566782944,0.608079956143569,0.444369177422319,0.919867805442924,0.999777407083955,0.931147968307867,0.828678043696555,0.704630837912088,0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.549206783308564,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.967606591291902,0.92480331054376,0.988663450574511,0.989353015660254
"SDG: Latin America and the Caribbean",0.672456041759778,0.796742264960276,0.694630928056828,0.822659927526924,0.506195583035668,0.588402437192754,0.681864798260951,0.741709606619988,0.842850875161716,0.734129798775229,0.648148148148148,0.869358224887103,0.869358224887103,0.779158965763964,0.577988089087824,0.790124254889638,0.969364555651906,0.463089328401512,0.312061009744201,0.614117647058823,0.985219761244409,0.985219761244409,0.635583696608455,0.635583696608455,1,1,0.798380952380952,0.798380952380952,0.669598832667798,0.700197802197802,0.638999863137794,0.693220745304079,0.516071120237787,0.87037037037037,0.471220519991469,0.2771903589872,0.665250680995738,0.354145485330044,0.354145485330044,0.626129032258065,0.626129032258065,0.374210582734887,0.415123279914856,0.333297885554918,0.764867698350517,0.94946364518161,0.479864812225508,0.865274639939035,0.619176878744893,0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.558217982896121,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.840754365258863,0.868199535187432,0.684539504439329,0.979435721707161,0.940623382020406
"SDG: Northern Africa and Western Asia",0.554641793976575,0.721389651755922,0.499294932707008,0.714597068265665,0.28829898868587,0.608697053178598,0.644529703051469,0.747206733455121,0.90252657298316,0.702729993260188,0.636363636363636,0.743660721851194,0.743660721851194,0.673301502125619,0.370583769340506,0.707072022046159,0.942248717010096,0.289638392018337,0.291276784036674,0.288,0.818862255525546,0.818862255525546,0.389384152075026,0.389384152075026,0.98483783156121,0.98483783156121,0.542928571428571,0.542928571428571,0.616024803951004,0.770726686240707,0.461322921661301,0.421840857555143,0.443681715110286,0.4,0.350606776792341,0.133056512762734,0.568157040821949,0.0924493325750226,0.0924493325750226,0.5775,0.5775,0.307419691713769,0.45117503717855,0.163664346248988,0.941171469648115,0.932689665815529,0.959076500414841,0.931748245537489,0.586709356780785,0.327382881668596,0.629,0.695454545454545,0.695,0.43711243175769,0.663327430972389,0.0721108755618755,0.212456375388281,0.0746671916010499,0.0542868820852934,0.8340519802158,0.922671287264443,0.909767322549521,0.795656416304824,0.99542412465972,0.93822142941332
"SDG: Oceania (excluding Australia and New Zealand)",,,,,,,,,,,0.5,,,,,0.736331355545413,0.707629671407553,,0.452088421583176,,0.458203709806501,0.458203709806501,0.260925397058824,0.260925397058824,0.927558331028159,0.927558331028159,,,0.444675020458265,0.673965425531915,0.215384615384615,0.698717948717949,0.397435897435897,1,,,,0,0,0.6,0.6,,,,0.911686451378108,1,0.863302746214346,0.871756610655037,,0.381766381766382,,,,0.367193318267092,0.514666666666667,0.0582726864294459,0.175641766299628,0.262,0.244,0.508367568812383,0.659931191261948,0.862930222521213,0.748836810399993,0.951235849056604,0.888718010695833
"SDG: Sub-Saharan Africa",0.534763510410326,0.704870594910582,0.345175707155527,0.676495298855164,0.41670099249026,0.595836686140542,0.572274532194238,0.508432796036493,0.641098157485362,0.303555070859093,0.580645161290323,0.966538633115383,0.966538633115383,0.639640357694481,0.575277820241892,0.761880542627983,0.58176271213249,0.379642430561962,0.272722361123923,0.4865625,0.39090452454808,0.39090452454808,0.264980167392068,0.264980167392068,0.871869495219688,0.871869495219688,0.635666666666667,0.635666666666667,0.521949736708625,0.558394730483459,0.485504742933792,0.655919511861714,0.567652977211801,0.744186046511628,0.530611497694728,0.522447439313902,0.538775556075554,0.0635719691644407,0.0635719691644407,0.47875,0.47875,0.379082940852109,0.540528334391958,0.217637547312259,0.929677119357028,0.980355339587022,0.884341049986096,0.924334971286999,0.655533182391332,0.335002047747146,0.705,0.771818181818182,0.8103125,0.441165646385046,0.612660822071641,0.122373259007994,0.239445185212557,0.356556084624194,0.329215866803216,0.564070123599044,0.692343007690078,0.620124769523159,0.475101965616248,0.83262775244361,0.552644592369994
